anio,Poblacion,Crecimiento_PIB_pct,Presupuesto_Total_COP,Gasto_Militar_pct_Presupuesto,Gasto_Educacion_pct_Presupuesto,Inflacion_Anual_pct,Desempleo_pct_Total,Inversion_Extranjera_pct_PIB,Presidente
1990,32440069.0,4.28199833053058,,9.10071869210253,,29.1520245976215,,1.04506114042541,César Gaviria
1991,33098372.0,2.00160759559029,,8.97705173084403,,30.3878204854436,10.12,0.929119963410911,César Gaviria
1992,33760571.0,4.04492943933556,,9.74865475552657,,27.0106266231361,9.44,1.24736846158865,César Gaviria
1993,34441473.0,5.38540993901029,,10.8020532739264,,22.4424828533275,7.8,1.44341026306631,César Gaviria
1994,35127410.0,5.81466190724336,,10.2048604654007,,22.8462417553045,8.25,1.77042262125538,César Gaviria
1995,35804662.0,5.20243759278655,,10.6769660911882,,20.8917930194849,8.72,1.04680224097574,Ernesto Samper
1996,36462745.0,2.05585471287195,,14.8410653504782,,20.7975755127402,11.81,3.20262771722448,Ernesto Samper
1997,37121149.0,3.43029367788374,,8.95809453290643,,18.4700217119089,12.14,5.21492781259777,Ernesto Samper
1998,37792165.0,0.569784088434517,27136610744549.3,10.9329227644644,12.475359916687,18.6769799276672,15.0,2.87354611202614,Ernesto Samper
1999,38454863.0,-4.20401524244947,33526473675161.5,11.1437875699813,13.1519298553467,10.8736870857471,20.06,1.74959315214541,Andrés Pastrana
2000,39089934.0,2.92486148176778,35310852165406.4,11.4804922883035,,9.22534818585366,20.52,2.43950747934181,Andrés Pastrana
2001,39709262.0,1.67789830787579,,12.162468020259,,7.96556090304834,15.04,2.58851936306874,Andrés Pastrana
2002,40324680.0,2.50398046659659,,12.251046402749,,6.35150728778872,14.481,2.17844751407948,Andrés Pastrana
2003,40937429.0,3.91827190322513,75227903148689.0,12.4455318344211,,7.1297886294186,13.221,1.81783931129221,Álvaro Uribe 1
2004,41543171.0,5.33302206759905,,13.0956162964777,,5.90402005546502,13.717,2.66083488771203,Álvaro Uribe 1
2005,42128977.0,4.82876110773741,,13.0350207404838,,5.05101962689696,11.062,7.02979401438219,Álvaro Uribe 1
2006,42691084.0,6.71686869844402,,11.5882213400583,,4.29342363628927,11.088,4.17238510059526,Álvaro Uribe 1
2007,43235374.0,6.73819469090975,,11.6691800869627,,5.54438485815156,11.204,4.30867680626701,Álvaro Uribe 2
2008,43758808.0,3.28344618616541,117081753000000.0,13.1459925807148,,6.99688495554511,11.273,4.35627834630067,Álvaro Uribe 2
2009,44271541.0,1.13964864548062,124039612000000.0,12.5733859997578,,4.20251661216482,12.066,3.45627065154005,Álvaro Uribe 2
2010,44777319.0,4.49465897070922,138215093000000.0,11.9831565038029,,2.27200227892008,11.153,2.24433595561184,Álvaro Uribe 2
2011,45259614.0,6.94789198173555,149956714000000.0,10.1778510543632,,3.4150334477625,10.288,4.37269536127322,Juan Manuel Santos 1
2012,45715810.0,3.91263576716115,166846606000000.0,10.8481405853833,,3.16930188840055,9.959,4.05728041313345,Juan Manuel Santos 1
2013,46151584.0,5.13399351995672,237687234240000.0,10.9081384983196,,2.01699224310383,9.246,4.24252457969381,Juan Manuel Santos 1
2014,46565429.0,4.49903000110972,230111317484498.0,9.94286356701407,,2.89883787761738,8.799,4.24107256687862,Juan Manuel Santos 1
2015,46969940.0,2.95590137527523,215783608009205.0,9.94316981957122,,4.9898311584953,8.572,3.95939854860993,Juan Manuel Santos 2
2016,47437512.0,2.08738250162794,247308000039024.0,10.2392681575753,,7.51346024627675,8.922,4.90164572903473,Juan Manuel Santos 2
2017,48131078.0,1.35936086788746,253175216328519.0,10.9414837447255,,4.31431325695011,9.086,4.3931823276543,Juan Manuel Santos 2
2018,49024465.0,2.56432428277704,296058651290187.0,8.75192448063037,,3.24056932930569,9.36,3.38083573220188,Juan Manuel Santos 2
2019,49907985.0,3.18685539245533,331851176786895.0,9.56741366924133,,3.52301932741447,10.28,4.33058240931506,Iván Duque
2020,50629997.0,-7.18591413760859,364985018163374.0,10.5373197617432,,2.52663500084706,15.983,2.7588942895314,Iván Duque
2021,51188173.0,10.8011981904878,425335606876693.0,9.31661870772695,,3.49505757399448,13.898,3.00175693787234,Iván Duque
2022,51737944.0,7.32827729427979,476496625260635.0,8.24544783741068,,10.1772313546166,10.541,4.97124137726565,Iván Duque
2023,52321152.0,0.712380031974334,528227850803468.0,8.46304111513453,,11.7359044948689,9.591,4.58478761240549,Gustavo Petro
2024,52886363.0,1.5983315366523,,10.1235403361897,,6.60908593728228,9.619,3.26725610813097,Gustavo Petro
2025,,,,,,,8.29,,Gustavo Petro
